accuracy_mean,accuracy_std,f1_mean,f1_std,Dataset,Encoder,Centrality
0.5263157894736842,0.10591900946051636,0.5404633242136778,0.10398805870132305,MUTAG,GraphHD,pagerank
0.47631578947368425,0.07934112332463861,0.49397152064620825,0.06962609605712144,MUTAG,GraphHD,degree
0.5605263157894738,0.07066169253735555,0.5642832951828223,0.07343430810344657,MUTAG,GraphHD,closeness
0.5289473684210526,0.04773251880846595,0.5452142384353145,0.042702803406200855,MUTAG,GraphHD,betweenness
0.5052631578947369,0.0997226069552443,0.5167025275540755,0.09962554839795544,MUTAG,GraphHD,katz
0.48684210526315796,0.08826584121709698,0.5010290488282392,0.0920168883791098,MUTAG,GraphHD,eigenvector
0.3526315789473684,0.12070889411768121,0.34480970784874915,0.11899157224219155,MUTAG,GraphOrder,pagerank
0.39736842105263165,0.10878961372944417,0.38778156193064856,0.11383019556447188,MUTAG,GraphOrder,degree
0.4236842105263158,0.10086193629861474,0.432489546549842,0.09182302637060362,MUTAG,GraphOrder,closeness
0.3578947368421053,0.10989796325169,0.3508434167474078,0.12416068789710975,MUTAG,GraphOrder,betweenness
0.33157894736842103,0.1172160918490531,0.34437187648463946,0.11391411236773545,MUTAG,GraphOrder,katz
0.33947368421052626,0.08441586806497599,0.32846950823316906,0.09000973207537617,MUTAG,GraphOrder,eigenvector
